table with row headers in column A and column headers in rows 3 through 4. (leading dots indicate sub-parts),,,
state_name,state,2021,2022
.Alabama,AL,"5,049,846","5,074,296"
.Alaska,AK,"734,182","733,583"
.Arizona,AZ,"7,264,877","7,359,197"
.Arkansas,AR,"3,028,122","3,045,637"
.California,CA,"39,142,991","39,029,342"
.Colorado,CO,"5,811,297","5,839,926"
.Connecticut,CT,"3,623,355","3,626,205"
.Delaware,DE,"1,004,807","1,018,396"
.District of Columbia,DC,"668,791","671,803"
.Florida,FL,"21,828,069","22,244,823"
.Georgia,GA,"10,788,029","10,912,876"
.Hawaii,HI,"1,447,154","1,440,196"
.Idaho,ID,"1,904,314","1,939,033"
.Illinois,IL,"12,686,469","12,582,032"
.Indiana,IN,"6,813,532","6,833,037"
.Iowa,IA,"3,197,689","3,200,517"
.Kansas,KS,"2,937,922","2,937,150"
.Kentucky,KY,"4,506,589","4,512,310"
.Louisiana,LA,"4,627,098","4,590,241"
.Maine,ME,"1,377,238","1,385,340"
.Maryland,MD,"6,174,610","6,164,660"
.Massachusetts,MA,"6,989,690","6,981,974"
.Michigan,MI,"10,037,504","10,034,113"
.Minnesota,MN,"5,711,471","5,717,184"
.Mississippi,MI,"2,949,586","2,940,057"
.Missouri,MS,"6,169,823","6,177,957"
.Montana,MO,"1,106,227","1,122,867"
.Nebraska,NE,"1,963,554","1,967,923"
.Nevada,NV,"3,146,402","3,177,772"
.New Hampshire,NH,"1,387,505","1,395,231"
.New Jersey,NJ,"9,267,961","9,261,699"
.New Mexico,NM,"2,116,677","2,113,344"
.New York,NY,"19,857,492","19,677,151"
.North Carolina,NC,"10,565,885","10,698,973"
.North Dakota,ND,"777,934","779,261"
.Ohio,OH,"11,764,342","11,756,058"
.Oklahoma,OK,"3,991,225","4,019,800"
.Oregon,OR,"4,256,301","4,240,137"
.Pennsylvania,PA,"13,012,059","12,972,008"
.Rhode Island,RI,"1,096,985","1,093,734"
.South Carolina,SC,"5,193,266","5,282,634"
.South Dakota,SD,"896,164","909,824"
.Tennessee,TN,"6,968,351","7,051,339"
.Texas,TX,"29,558,864","30,029,572"
.Utah,UT,"3,339,113","3,380,800"
.Vermont,VT,"646,972","647,064"
.Virginia,VA,"8,657,365","8,683,619"
.Washington,WA,"7,740,745","7,785,786"
.West Virginia,WV,"1,785,526","1,775,156"
.Wisconsin,WI,"5,880,101","5,892,539"
.Wyoming,WY,"579,483","581,381"